Sentence,NER,types
""" These are powerful weapons , "" a spokesman with the Municipal Police told Reuters by telephone , adding that police had not ruled out a possible terrorist attack on the ornate Casa de Narino presidential palace in Bogota 's historic downtown area .","{""ORG"": [""Municipal Police"", ""Reuters""], ""LOC"": [""Casa de Narino"", ""Bogota""]}",conll2003
""" They could cause serious damage as much as 500 meters ( yards ) away from wherever they were detonated , "" the spokesman added .",{},conll2003
He said police backed by explosive experts were combing the area in search of other possible weapons or explosive devices .,{},conll2003
The police spokeman said plastic explosive like C-4 is not a normal component in claymore mines .,{},conll2003
"But he said the eight mines seized by police had been "" specially adapted . """,{},conll2003
"The spokesman declined further comment , except to say that two women and a man identified as a lawyer had been arrested in connection with the landmines .",{},conll2003
-DOCSTART-,{},conll2003
Assault charges dropped against Surinam ex-rebel .,"{""LOC"": [""Surinam""]}",conll2003
"PARAMARIBO , Surinam 1996-08-30","{""LOC"": [""PARAMARIBO"", ""Surinam""]}",conll2003
"Flamboyant former Surinamese guerrilla leader Ronny Brunswijk walked free on Friday after charges of attempted murder were dropped , police said .","{""MISC"": [""Surinamese""], ""PER"": [""Ronny Brunswijk""]}",conll2003
"Brunswijk had been in police custody for 10 days after Freddy Pinas , a Surinamese-born visitor from the Netherlands , accused Brunswijk of trying to kill him in a bar-room brawl in the mining town of Moengo 56 miles ( 90 km ) east of Paramaribo .","{""PER"": [""Brunswijk"", ""Freddy Pinas"", ""Brunswijk""], ""MISC"": [""Surinamese-born""], ""LOC"": [""Netherlands"", ""Moengo"", ""Paramaribo""]}",conll2003
"Brunswijk , 35 , denied the charge and reached an agreement with Pinas after replacing a golden necklace lost in the scuffle .","{""PER"": [""Brunswijk"", ""Pinas""]}",conll2003
It was the second time Brunswijk had been charged with attempted murder in less than two years .,"{""PER"": [""Brunswijk""]}",conll2003
In 1994 he served two months for shooting a thief in the backside .,{},conll2003
"Brunswijk , who led a rebel group against the military regime of Desi Bouterse in the late 1980s , is now a successful businessman with mining and logging interests .","{""PER"": [""Brunswijk"", ""Desi Bouterse""]}",conll2003
-DOCSTART-,{},conll2003
Cambodian opposition newspaper editor pardoned .,"{""MISC"": [""Cambodian""]}",conll2003
PHNOM PENH 1996-08-30,"{""LOC"": [""PHNOM PENH""]}",conll2003
Cambodia 's King Norodom Sihanouk on Friday gave a royal pardon to an opposition newspaper editor who had alleged top-level corruption .,"{""LOC"": [""Cambodia""], ""PER"": [""Norodom Sihanouk""]}",conll2003
"Hen Vipheak , former editor of the Sereipheap Thmei ( New Liberty ) newspaper , stepped through the gates of the run-down French colonial-era T3 prison late Friday afternoon , following intervention on his behalf by King Sihanouk .","{""PER"": [""Hen Vipheak"", ""Sihanouk""], ""ORG"": [""Sereipheap Thmei"", ""New Liberty""], ""MISC"": [""French""], ""LOC"": [""T3""]}",conll2003
"The Supreme Court had on August 23 sent the opposition Khmer Nation Party steering committee member to jail after upholding rulings by the municipal and appeal courts that handed down a five million riels ( $ 2,000 ) fine and one year 's imprisonment .","{""ORG"": [""Supreme Court"", ""Khmer Nation Party""]}",conll2003
The judge overturned a decision to shut down Hen Vipheak 's newspaper .,"{""PER"": [""Hen Vipheak""]}",conll2003
The editor was prosecuted following a May 1995 article alleging top-level corruption .,{},conll2003
"Sihanouk promised an amnesty to Hen Vipheak , along with fellow KNP member and journalist Chan Rattana , who was released after serving a week of a year-long jail term in June .","{""PER"": [""Sihanouk"", ""Hen Vipheak"", ""Chan Rattana""], ""ORG"": [""KNP""]}",conll2003
Co-Premiers Prince Norodom Ranariddh and Hun Sen agreed earlier this week to the king 's request for an amnesty .,"{""PER"": [""Norodom Ranariddh"", ""Hun Sen""]}",conll2003
-DOCSTART-,{},conll2003
Far East Gold - Moribund market seen continuing .,"{""LOC"": [""Far East""]}",conll2003
Mishi Saran,"{""PER"": [""Mishi Saran""]}",conll2003
HONG KONG 1996-08-30,"{""LOC"": [""HONG KONG""]}",conll2003
Far East gold traders thumped foreheads in frustration at the market 's foot-dragging this week and forecast on Friday that next week would not be much better .,"{""LOC"": [""Far East""]}",conll2003
The Southeast Asian gold market was more or less a photo-fit picture of the previous week 's position with activity slow and bullion prices trapped in a well-worn range awaiting a seasonal upturn in demand and prices into the fourth quarter .,"{""MISC"": [""Southeast Asian""]}",conll2003
"Singapore premiums for Australian kilo bars were quoted unchanged at between 25-45 cents an ounce over spot loco London prices , with South Korean and Indonesian-origin premiums also steady at 10-20 cents an ounce .","{""LOC"": [""Singapore"", ""London""], ""MISC"": [""Australian"", ""South Korean"", ""Indonesian-origin""]}",conll2003
"Singapore dealers said they were concerned that there had been a marked revival in offers to sell gold by South Korean traders , following the distress sales of recent months after the Seoul government 's crackdown on bullion arbitrage trade .","{""LOC"": [""Singapore"", ""Seoul""], ""MISC"": [""South Korean""]}",conll2003
""" I was shocked to see these offers coming in again , though there 's been no indication of price or volume .",{},conll2003
"I dread to think what will happen to the premiums if the Koreans start selling in force , "" one dealer said .","{""MISC"": [""Koreans""]}",conll2003
Continued dishoarding of kilo-bars by Indonesian sources ahead of next year 's presidential election has also kept a lid on premiums .,"{""MISC"": [""Indonesian""]}",conll2003
"Gold closed down at $ 387.00 / $ 387.50 an ounce in Hong Kong on Friday , versus New York 's $ 387.60 / $ 388 finish on Thursday .","{""LOC"": [""Hong Kong"", ""New York""]}",conll2003
Dealers said the precious metal eased on a report that the International Monetary Fund might sell some of its gold to reduce the debts of the poorest developing countries .,"{""ORG"": [""International Monetary Fund""]}",conll2003
"Easier silver prices mid-week helped keep spot gold locked in a $ 386 - $ 389 an ounce range , dealers said , but they remained optimistic that the usual seasonal pick-up in jewellery fabrication demand would see gold at $ 395 by end-October .",{},conll2003
""" I still think we 'll see gold at $ 395 by the end of October , in a retracement of the $ 418 - $ 380 move we saw at the start of the year , "" one said .",{},conll2003
"Silver , basis the September contract on New York 's Comex market , was expected to find support at between $ 5.12 - $ 5.15 an ounce and meet resistance from $ 5.25 - $ 5.30 , they added .","{""LOC"": [""New York""]}",conll2003
September silver closed up $ 0.004 in New York on Thursday at $ 5.255 an ounce .,"{""LOC"": [""New York""]}",conll2003
-DOCSTART-,{},conll2003
Tripoli decks out for coup celebrations .,"{""LOC"": [""Tripoli""]}",conll2003
Mona Eltahawy,"{""PER"": [""Mona Eltahawy""]}",conll2003
TRIPOLI 1996-08-30,"{""LOC"": [""TRIPOLI""]}",conll2003
Libyans are dressing up their capital Tripoli for celebrations on Sunday of the 27th anniversary of the coup which brought Muammar Gaddafi to power .,"{""MISC"": [""Libyans""], ""LOC"": [""Tripoli""], ""PER"": [""Muammar Gaddafi""]}",conll2003
"Green flags and banners praise the "" great revolution "" and promise defiance against United Nations sanctions imposed for Libya 's refusal to hand over for trial two suspects wanted in connection with the 1988 bombing of a Pan Am flight over Lockerbie , Scotland .","{""ORG"": [""United Nations"", ""Pan Am""], ""LOC"": [""Libya"", ""Lockerbie"", ""Scotland""]}",conll2003
""" We have chosen the challenge because it is our only option , "" proclaimed one banner on the road to Tripoli airport which serves only internal flights because of the sanctions .","{""LOC"": [""Tripoli""]}",conll2003
Huge stadium lights are directed at the city 's Green Square where makeshift stages await Sunday 's festivities .,"{""LOC"": [""Green Square""]}",conll2003
"Three African leaders -- from Niger , Guinea and Ghana -- are expected to attend the celebrations marking September 1 , 1969 when a group of young army officers , led by a 27-year-old Gaddafi , deposed King Mohammed Idris .","{""MISC"": [""African""], ""LOC"": [""Niger"", ""Guinea"", ""Ghana""], ""PER"": [""Gaddafi"", ""Mohammed Idris""]}",conll2003
""" The revolution has brought us great achievements ...",{},conll2003
"We are comfortable the revolution has taken care of us , improved our lives and given us capabilites , "" Samer Ammar Soliman , 42 , told Reuters as he came out of Friday prayers .","{""PER"": [""Samer Ammar Soliman""], ""ORG"": [""Reuters""]}",conll2003
"But some Libyans have begun to show their discontent in the country 's east , which has become a hotbed of militant violence .","{""MISC"": [""Libyans""]}",conll2003
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"{""MISC"": [""Tripoli-based""], ""PER"": [""Gaddafi""], ""LOC"": [""Jebel al-Akhdar""]}",conll2003
Travellers arriving in Egypt say militants and police officers clash regularly in Benghazi .,"{""LOC"": [""Egypt"", ""Benghazi""]}",conll2003
At least 20 people were killed in the capital in early July after bodyguards loyal to Gaddafi 's sons fired at spectators of a football match who were chanting subversive slogans .,"{""PER"": [""Gaddafi""]}",conll2003
"Gaddafi has dismissed any unrest as the work of foreigners , and last year deported thousands of Sudanese and Egyptian workers .","{""PER"": [""Gaddafi""], ""MISC"": [""Sudanese"", ""Egyptian""]}",conll2003
-DOCSTART-,{},conll2003
Twilight zone for Wall Street as political race heats up .,"{""LOC"": [""Wall Street""]}",conll2003
Pierre Belec,"{""PER"": [""Pierre Belec""]}",conll2003
NEW YORK 1996-08-30,"{""LOC"": [""NEW YORK""]}",conll2003
"For Wall Street , this is the season to be cautious as the presidential contest puts the stock market in the twilight zone .","{""LOC"": [""Wall Street""]}",conll2003
"President Clinton , Bob Dole and Ross Perot are hitting the road now that the partying is over , and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","{""PER"": [""Clinton"", ""Bob Dole"", ""Ross Perot""]}",conll2003
"Analysts believe that the candidates will add to the market 's list of uncertainties , which already includes the question of whether the Federal Reserve will raise interest rates to cool economic growth .","{""ORG"": [""Federal Reserve""]}",conll2003
They say the politicians will need to promote legislation that helps the economy without scaring the socks off financial markets .,{},conll2003
""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship , "" said Hugh Johnson , chief investment officer at First Albany Corp. "" That 's when Wall Street will need to worry . ""","{""PER"": [""Clinton"", ""Dole"", ""Hugh Johnson""], ""ORG"": [""First Albany Corp.""], ""LOC"": [""Wall Street""]}",conll2003
"He said that the bond market would be the first to react if the "" bidding "" intensifies and stocks would quickly drop as interest rates rise .",{},conll2003
""" I do n't think it would imply the collapse of the stock market , unless the rise in rates touches off a dynamic within the market , which would include selling by portfolio managers , redemptions by individuals of mutual funds that would , in turn , pressure the portfolio managers to sell even more stock . """,{},conll2003
"This week , the market weighed Dole 's proposal to lower federal income taxes by 15 percent across the board , a package that carries a price tag of $ 548 billion .","{""PER"": [""Dole""]}",conll2003
Clinton proposes an $ 8.4 billion re-election agenda that would spare most home-sellers from capital gains taxes and give employers tax incentives to hire people off the welfare rolls .,"{""PER"": [""Clinton""]}",conll2003
"Clinton claims Dole 's plan would increase the deficit , while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","{""PER"": [""Clinton"", ""Dole""], ""LOC"": [""White House""]}",conll2003
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"{""LOC"": [""Wall Street"", ""Washington""]}",conll2003
""" The stock market will have to edit the promises and then do a probability study on those edited promises , "" said John Geraghty at the consulting firm North American Equity Services .","{""PER"": [""John Geraghty""], ""ORG"": [""North American Equity Services""]}",conll2003
"During the past four presidential elections , the candidate that has favoured tax cuts has won .",{},conll2003
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 , while Democrat Walter Mondale , who promised higher taxes , lost .","{""PER"": [""Ronald Reagan"", ""Walter Mondale""], ""LOC"": [""White House""], ""MISC"": [""Democrat""]}",conll2003
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,"{""PER"": [""George Bush"", ""Clinton""]}",conll2003
"The trick , they said , will be for the candidates to continue to convince Wall Street that the Treasury 's 30-year bond -- the most closely-watched interest rate -- will fall to between 4 percent and 5 percent by the end of the decade .","{""LOC"": [""Wall Street""], ""ORG"": [""Treasury""]}",conll2003
Johnson said that long-term interest rates have already been spooked by the election .,"{""PER"": [""Johnson""]}",conll2003
The long-term bond jumped this week to 7.13 percent after starting the year at 5.95 percent .,{},conll2003
"The surge of buying in stocks during the last two years has come amid an environment of low interest rates , which has boosted corporate profits .",{},conll2003
"But the market stalled this summer after the Dow Jones industrial average set a record high of 5,778.00 points on May 22 .","{""MISC"": [""Dow Jones""]}",conll2003
""" The market does n't seem to be able to make new highs and it has been back and forth in a fairly horizontal mode which looks like a holding pattern , "" said Geraghty .","{""PER"": [""Geraghty""]}",conll2003
"He said the market reflects the political uncertainty , now that Dole has sharply narrowed the gap with Clinton in the polls .","{""PER"": [""Dole"", ""Clinton""]}",conll2003
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"{""PER"": [""Geraghty"", ""Clintons""], ""LOC"": [""Whitewater""]}",conll2003
""" Stocks are on a delicate edge because if something happens that looks like it could upset the presidency , it could throw the political and , to some extent the economic , process into chaos , "" Geraghty said .","{""PER"": [""Geraghty""]}",conll2003
"Right now , Wall Street is pondering the candidates .","{""LOC"": [""Wall Street""]}",conll2003
""" We have an election where there are so many unknown variables that most people will probably want to hold fire , and even take the chance that they will have to pay higher prices for stocks after the November election , than take the risk that a shock to the system will hurt the stock market , "" Geraghty said .","{""PER"": [""Geraghty""]}",conll2003
"On Friday , the Dow Jones index closed down 31.44 points at 5,616.21 .","{""MISC"": [""Dow Jones""]}",conll2003
"For the week , it was down 106.53 points .",{},conll2003
"The Nasdaq composite index closed 3.53 points lower Friday at 1,141.50 .","{""MISC"": [""Nasdaq""]}",conll2003
"For the week , it was down 1.55 points .",{},conll2003
"The Standard & Poor 's index of 500 stocks was off 5.41 points at 651.99 , down 15.03 points for the week .","{""ORG"": [""Standard & Poor""]}",conll2003
"The American Stock Exchange index was down 1.66 points at 559.68 , and was off 1.26 for the week .","{""ORG"": [""American Stock Exchange""]}",conll2003
-DOCSTART-,{},conll2003
Brisk economic reports rattle markets anew .,{},conll2003
Glenn Somerville,"{""PER"": [""Glenn Somerville""]}",conll2003
WASHINGTON 1996-08-30,"{""LOC"": [""WASHINGTON""]}",conll2003
"Factory orders rose in July and manufacturing surged in the Midwest in August , reports said Friday , sparking worries about inflation that battered financial markets for a second straight day .","{""LOC"": [""Midwest""]}",conll2003
The Commerce Department said orders for manufactured goods climbed 1.8 percent in July to a seasonally adjusted $ 317.6 billion -- nearly twice the increase that had been expected .,"{""ORG"": [""Commerce Department""]}",conll2003
"Shipments of everything from new cars to food items rose , as did order backlogs , in a sign that the strength in the industrial sector would continue in coming months .",{},conll2003
A separate report from Chicago area purchasing managers underlined the strength in manufacturing as the group 's barometer of manufacturing in the region jumped to 60 in August from 51.2 in July .,"{""LOC"": [""Chicago""]}",conll2003
A reading above 50 indicates growth in manufacturing .,{},conll2003
"While production and orders rose at Midwest area businesses , the prices they paid for goods used in manufacturing remained well in check .","{""LOC"": [""Midwest""]}",conll2003
"Analysts said the reports implied the economy was not slowing down in the third quarter after a burst of growth in the spring , and that the lull in late June and July was more temporary than Federal Reserve policy-makers had wanted .","{""ORG"": [""Federal Reserve""]}",conll2003
""" It appears that August is showing an economy again reversing course and is not moving onto a significantly slower track at this point , "" said economist Lynn Reaser of Barnett Banks Inc. in Jacksonville , Fla .","{""PER"": [""Lynn Reaser""], ""ORG"": [""Barnett Banks Inc.""], ""LOC"": [""Jacksonville"", ""Fla""]}",conll2003
"The reports fanned worries on Wall Street that the Fed , the nation 's central bank , would raise rates next month in a bid to ward off inflation , driving stock and bond prices sharply lower for a second day running .","{""LOC"": [""Wall Street""], ""ORG"": [""Fed""]}",conll2003
"The 30-year Treasury fell almost a point , raising its yield , which moves in the opposite direction from the price , to 7.12 percent from 7.04 percent late Thursday .","{""ORG"": [""Treasury""]}",conll2003
"The Dow Jones industrial average fell 31.44 points to 5,616.21 after a 64.73-point decline Thursday .","{""MISC"": [""Dow Jones""]}",conll2003
"A third report from the Commerce Department , on July personal income and spending , pointed to a potential slowdown in consumer spending that some analysts said may help moderate growth in the second half .","{""ORG"": [""Commerce Department""]}",conll2003
It showed spending rose only 0.2 percent last month to a seasonally adjusted annual rate of $ 5.15 trillion after dropping a revised 0.4 percent in June .,{},conll2003
"Incomes from wages , salaries and all other sources gained 0.1 percent to a rate of $ 6.47 trillion after a 0.9 percent jump in June .",{},conll2003
"July 's slight gain in incomes was the weakest in six months , since January when they were flat .",{},conll2003
"Economist Joel Naroff of First Union bank in Philadelphia said consumer spending , which fuels two-thirds of the nation 's economy , may be much slower in the third quarter than in the first half , which should slow economic growth .","{""PER"": [""Joel Naroff""], ""ORG"": [""First Union""], ""LOC"": [""Philadelphia""]}",conll2003
""" The FOMC ( Federal Open Market Committee ) has been forecasting a slowing in economic activity and moderating household demand will have a large impact on overall economic growth , "" Naroff said in a written comment .","{""ORG"": [""FOMC"", ""Federal Open Market Committee""], ""PER"": [""Naroff""]}",conll2003
The policy-making FOMC is to meet on Sept .,"{""ORG"": [""FOMC""]}",conll2003
24 to plot interest-rate strategy .,{},conll2003
It already has adopted a bias toward raising rates to keep a lid on wage and price rises and help sustain the 5-1 / 2-year-old economic expansion .,{},conll2003
"In an interview on the cable television network CNBC Friday , Federal Reserve Governor Lawrence Lindsey said there still were "" mixed signals "" about the economy 's direction .","{""ORG"": [""CNBC"", ""Federal Reserve""], ""PER"": [""Lawrence Lindsey""]}",conll2003
""" I think that , on balance , it is looking a little bit on the strong side , "" Lindsey said .","{""PER"": [""Lindsey""]}",conll2003
"He added that with expansion as solid as it is and with unemployment so low "" the greater risks are clearly that we might see some overheating . """,{},conll2003
"While July consumer spending rose only slightly , there were ample indications that consumers remained confident .",{},conll2003
"The University of Michigan 's August index of consumer sentiment , made available on Friday to paying subscribers , rose to 95.3 from 94.7 in July .","{""ORG"": [""University of Michigan""]}",conll2003
Reaser said strong consumer confidence coupled with relatively lean inventories were providing manufacturers with a reason to gear up production .,"{""PER"": [""Reaser""]}",conll2003
""" The economy is not going to be expanding at the 4.8 percent ( annual ) rate that we had in the second quarter but it is likely to keep expanding in the 3 percent range , "" she said , above the 2 percent to 2-1/4 percent that the Fed considers to be non-inflationary .","{""ORG"": [""Fed""]}",conll2003
New orders to factories were strong for durable goods like new cars and for nondurables like paper and food products .,{},conll2003
"Orders for durable goods , meant to last three years or more , rose a revised 1.7 percent in July after falling 0.2 percent in June .",{},conll2003
Orders for nondurables jumped 1.8 percent following a 1.2 percent decrease in June .,{},conll2003
-DOCSTART-,{},conll2003
Mexican avocados not expected in U.S .,"{""MISC"": [""Mexican""], ""LOC"": [""U.S""]}",conll2003
Maggie McNeil,"{""PER"": [""Maggie McNeil""]}",conll2003
WASHINGTON 1996-08-30,"{""LOC"": [""WASHINGTON""]}",conll2003
"U.S. Agriculture Department officials said Friday that Mexican avocados -- which are restricted from entering the continental United States -- will not likely be entering U.S. markets any time soon , even if the controversial ban were lifted today .","{""ORG"": [""U.S. Agriculture Department""], ""MISC"": [""Mexican""], ""LOC"": [""United States"", ""U.S.""]}",conll2003
""" The opportunity to import ( Mexican avocados ) probably wo n't become possible for another year , "" said Paul Drazek , senior trade advisor to Agriculture Secretary Dan Glickman .","{""MISC"": [""Mexican""], ""PER"": [""Paul Drazek"", ""Dan Glickman""]}",conll2003
""" We could lift the ban tomorrow , but that would not mean anything immediately , "" said Drazek . ""","{""PER"": [""Drazek""]}",conll2003
"We probably would not see avacados come in until next season , next November . """,{},conll2003
The Agriculture Department proposed more than a year ago to significantly ease an 82-year ban on Mexican avocados .,"{""ORG"": [""Agriculture Department""], ""MISC"": [""Mexican""]}",conll2003
"Under the administration 's proposal , the borders to the Mexican produce would be opened into 19 Northern and Northeastern states from November through February .","{""MISC"": [""Mexican""]}",conll2003
"The plan has raised a storm of protest from U.S. avocado growers , who are largely concentrated in California .","{""LOC"": [""U.S."", ""California""]}",conll2003
"California growers have charged that removing the restrictions , even on a limited basis , would endanger the $ 1 billion U.S. industry if potentially harmful Mexican insects were brought into the country along with the avocados .","{""LOC"": [""California"", ""U.S.""], ""MISC"": [""Mexican""]}",conll2003
"Mexican officials contend that there is no scientific basis for the ban , and that it is illegal under international trading rules of the World Trade Organisation .","{""MISC"": [""Mexican""], ""ORG"": [""World Trade Organisation""]}",conll2003
Proponents of the plan discount the worries of the U.S. growers and say the plan has enough safeguards built into it to eliminate any significant threat to American producers .,"{""LOC"": [""U.S.""], ""MISC"": [""American""]}",conll2003
"Under the proposal , only imports of export-quality avocados growing in approved orchards in Michoacan , Mexico , the country 's main avocado area , would be allowed .","{""LOC"": [""Michoacan"", ""Mexico""]}",conll2003
Mexican growers and distributors would have to abide by strict rules established by the Mexican and U.S. agriculture agencies .,"{""MISC"": [""Mexican"", ""Mexican""], ""LOC"": [""U.S.""]}",conll2003
The California Avocado Commission -- which has spearheaded the opposition to lifting the ban -- said new data the group submitted to the Agriculture Department last spring shows the department underestimated the pest problem in Mexico and have urged that the agency reopen its study of the issue .,"{""ORG"": [""California Avocado Commission"", ""Agriculture Department""], ""LOC"": [""Mexico""]}",conll2003
"The administration is still studying the new data , and officials have said that if experts think the information is significant , the agency could reopen its investigation .",{},conll2003
"But U.S. avocado industry sources said that while they may have delayed the plan for a while , they ultimately do not expect the administration to change its position .","{""LOC"": [""U.S.""]}",conll2003
""" From a common-sense view , the department should reconsider this plan , but due to politics they will probably go ahead with this , "" said Tom Bellamore of the California avocado group .","{""PER"": [""Tom Bellamore""], ""LOC"": [""California""]}",conll2003
"Administration officials said they want to get the issue resolved as quickly as possible , but said there is no timetable they are working under .",{},conll2003
""" It 's a very complicated issue , "" said the Agriculture Department 's Drazek . ""","{""ORG"": [""Agriculture Department""], ""PER"": [""Drazek""]}",conll2003
"We 'll get it resolved as quickly as we can , based on the best available science . """,{},conll2003
-DOCSTART-,{},conll2003
U.S. Cardinal Bernardin says has terminal cancer .,"{""LOC"": [""U.S.""], ""PER"": [""Bernardin""]}",conll2003
CHICAGO 1996-08-30,"{""LOC"": [""CHICAGO""]}",conll2003
"Chicago Cardinal Joseph Bernardin , head of the second-largest U.S. Roman Catholic archdiocese , said on Friday his doctors had diagnosed him as having liver cancer and he had a year or less to live .","{""LOC"": [""Chicago"", ""U.S.""], ""PER"": [""Joseph Bernardin""], ""MISC"": [""Roman Catholic""]}",conll2003
"Bernardin , 68 , underwent extensive surgery for pancreatic cancer in June 1995 followed by months of chemotherapy , which he said made him more aware of his own vulnerabilities and the need to minister to the sick .","{""PER"": [""Bernardin""]}",conll2003
""" On Wednesday , examinations indicated that the cancer has returned , this time in the liver .",{},conll2003
"I am told that it is terminal and that my life expectancy is one year or less , "" a composed Bernardin told a news conference .","{""PER"": [""Bernardin""]}",conll2003
"In 14 years as Chicago 's archbishop , he built a prayerful , saintly image and was deeply involved in world church issues and publicly committed to rooting out abuses by clergy .","{""LOC"": [""Chicago""]}",conll2003
""" I have been assured that I still have some quality time left , "" he said , saying he would undergo a new form of chemotherapy but his doctors have told him there was only a slim chance of a cure and the liver cancer was inoperable .",{},conll2003
""" It 's not going to be easy to say goodbye to everybody .",{},conll2003
"Death does have some sad dimensions to it but I am a man of faith , "" he said . """,{},conll2003
"Death is a natural phenomenom . """,{},conll2003
"He said he would "" serve until the end "" as cardinal .",{},conll2003
"Pancreatic cancer is among the most deadly forms of the disease , although Bernardin 's case was caught early .","{""PER"": [""Bernardin""]}",conll2003
"Surgeons removed a cancerous kidney , parts of his pancreas and stomach , small intestine , bile duct and surrounding tissues .",{},conll2003
"He made a rapid recovery and resumed most of his duties , but then developed a deteriorating condition in his spine that caused him great pain and shortened his height by several inches .",{},conll2003
"He was scheduled to undergo back surgery next month , but that was cancelled when the cancer was discovered in his liver in order to avoid delaying the start of chemotherapy .",{},conll2003
"The spare , soft-spoken son of an Italian stonecutter took over the Chicago archdiocese , the nation 's second-largest after Los Angeles , with 2.3 million parishioners , in 1982 .","{""MISC"": [""Italian""], ""LOC"": [""Chicago"", ""Los Angeles""]}",conll2003
"Ironically , Bernardin , who developed a progressive , much-praised programme to deal with pedophilia involving priests , became the highest-ranking church official ever accused of sexual improprieties when a former seminary student leveled charges in 1993 that he had been sexually abused by Bernardin during the 1970s .","{""PER"": [""Bernardin"", ""Bernardin""]}",conll2003
Bernardin steadfastly denied the charges and the former student later recanted his tale of abuse .,"{""PER"": [""Bernardin""]}",conll2003
Bernardin prayed with him before he died from AIDS last year .,"{""PER"": [""Bernardin""], ""MISC"": [""AIDS""]}",conll2003
"Bernardin , who became archbishop of Cincinnati in 1972 , played an increasingly prominent role in the U.S. church as a moderate voice of compromise among liberals and conservatives in the ranks of the bishops .","{""PER"": [""Bernardin""], ""LOC"": [""Cincinnati"", ""U.S.""]}",conll2003
"This month , he announced that he would oversee a series of conferences to find "" common ground "" among American Catholics .","{""MISC"": [""American Catholics""]}",conll2003
"Previously , he was instrumental in drafting church policy on war , peace and nuclear arms , and for seven years he headed the bishops ' anti-abortion policy committee , espousing a policy describing human life as a "" seamless garment . """,{},conll2003
-DOCSTART-,{},conll2003
Boatmen 's deal could spark more mergers .,"{""ORG"": [""Boatmen 's""]}",conll2003
Brad Dorfman,"{""PER"": [""Brad Dorfman""]}",conll2003
CHICAGO 1996-08-30,"{""LOC"": [""CHICAGO""]}",conll2003
"The $ 9.5 billion proposed acquisition of Boatmen 's Bancshares Inc. by NationsBank Corp. could spark a flurry of other mergers involving Missouri banks , which until last year were protected from outside buyers by state regulations .","{""ORG"": [""Boatmen 's Bancshares Inc."", ""NationsBank Corp.""], ""LOC"": [""Missouri""]}",conll2003
""" NationsBank just strolled into the Midwest and bagged the biggest banking trophy in the landscape , "" said Michael Ancell , banking industry analyst at Edward D. Jones & Co . ""","{""ORG"": [""NationsBank"", ""Edward D. Jones & Co""], ""LOC"": [""Midwest""], ""PER"": [""Michael Ancell""]}",conll2003
"Whoever wants a big market position in the Midwest has to come in and grab Mercantile or Commerce . ""","{""LOC"": [""Midwest""], ""ORG"": [""Mercantile"", ""Commerce""]}",conll2003
"St. Louis-based Mercantile Bancorp Inc. , a bank holding company with $ 18.04 billion in assets , was seen by many analysts as the most attractive Missouri franchise in size after Boatmen 's .","{""MISC"": [""St. Louis-based""], ""ORG"": [""Mercantile Bancorp Inc."", ""Boatmen 's""], ""LOC"": [""Missouri""]}",conll2003
"Kansas City , Mo.-based Commerce Bancshares Inc. , with $ 9.32 billion in assets , also could help a regional bank establish a strong presence in the lower Midwest , analysts added .","{""LOC"": [""Kansas City"", ""Midwest""], ""MISC"": [""Mo.-based""], ""ORG"": [""Commerce Bancshares Inc.""]}",conll2003
""" It focuses more attention on Mercantile , Commerce and Roosevelt , "" said James Weber , analyst at A.G. Edwards & Sons .","{""ORG"": [""Mercantile"", ""Commerce"", ""Roosevelt"", ""A.G. Edwards & Sons""], ""PER"": [""James Weber""]}",conll2003
Roosevelt Financial Group Inc is a $ 9.33 billion asset-St .,"{""ORG"": [""Roosevelt Financial Group Inc""], ""MISC"": [""asset-St .""]}",conll2003
Louis based thrift .,"{""MISC"": [""Louis""]}",conll2003
""" Now ... the most coveted bank out there is Mercantile , "" Weber said .","{""ORG"": [""Mercantile""], ""PER"": [""Weber""]}",conll2003
Mercantile and Commerce did not return phone calls seeking comment .,"{""ORG"": [""Mercantile"", ""Commerce""]}",conll2003
"Among those seen as having an interest in buying in Missouri are Minneapolis-based First Bank System Inc. and Norwest Corp. , Ohio-based KeyCorp and Banc One Corp. , and First Chicago NBD Corp. in Illinois .","{""LOC"": [""Missouri"", ""Illinois""], ""MISC"": [""Minneapolis-based"", ""Ohio-based""], ""ORG"": [""First Bank System Inc."", ""Norwest Corp."", ""KeyCorp"", ""Banc One Corp."", ""First Chicago NBD Corp.""]}",conll2003
"Representatives of First Bank , Norwest , Banc One and First Chicago said the banks do not comment on rumors of possible mergers or acquisitions .","{""ORG"": [""First Bank"", ""Norwest"", ""Banc One"", ""First Chicago""]}",conll2003
"KeyCorp , contacted by phone , would not comment .","{""ORG"": [""KeyCorp""]}",conll2003
