Sentence,NER,generated_ner
find a mike donuts for non smokers,"{""Restaurant_Name"": [""mike donuts""], ""Amenity"": [""non smokers""]}","{ ""product"": [""mike donuts""]}"
find a place to eat that has a drive thru,"{""Amenity"": [""drive thru""]}",{}
find a place with live music and happy hour specials,"{""Amenity"": [""live music"", ""happy hour specials""]}",{}
find a reasonably priced restaurant on highwood drive called oriental kitchen,"{""Price"": [""reasonably""], ""Location"": [""highwood drive""], ""Restaurant_Name"": [""oriental kitchen""]}","{ ""location"": [""highwood drive""]}"
find a thai cuisine within 2 miles,"{""Cuisine"": [""thai""], ""Location"": [""within 2 miles""]}","{ ""location"": [""thai""]}"
find a wright wright take out for a special occasion,"{""Restaurant_Name"": [""wright wright""], ""Amenity"": [""take out"", ""special occasion""]}",{}
find an in and out burger place,"{""Restaurant_Name"": [""in and out burger""]}",{}
find an inexpensive mexican restaurant in the area,"{""Price"": [""inexpensive""], ""Cuisine"": [""mexican""], ""Location"": [""in the area""]}","{ ""location"": [""mexican""]}"
find an italian resturant that serves family style,"{""Cuisine"": [""italian""], ""Amenity"": [""family style""]}",{}
find italian restaurants in atlanta ga,"{""Cuisine"": [""italian""], ""Location"": [""atlanta ga""]}","{ ""location"": [""atlanta ga""]}"
find italian restaurants within 10 miles,"{""Cuisine"": [""italian""], ""Location"": [""within 10 miles""]}","{ ""location"": [""italian""]}"
find me a 3 star rated burger restaurant within 10 miles,"{""Rating"": [""3 star rated""], ""Dish"": [""burger restaurant""], ""Location"": [""within 10 miles""]}",{}
find me a causal bar and grill,"{""Amenity"": [""causal""], ""Cuisine"": [""bar and grill""]}",{}
find me a cheap brazilian restaurant,"{""Price"": [""cheap""], ""Cuisine"": [""brazilian""]}","{ ""location"": [""brazilian""]}"
find me a cheap restaurant with a no smoking area,"{""Price"": [""cheap""], ""Amenity"": [""no smoking area""]}",{}
find me a cheaply priced thai restaurant,"{""Price"": [""cheaply""], ""Cuisine"": [""thai""]}","{ ""location"": [""thai""]}"
find me a chinese restaurant nearby,"{""Cuisine"": [""chinese""], ""Location"": [""nearby""]}","{ ""location"": [""chinese""]}"
find me a chinese take out restaurant,"{""Cuisine"": [""chinese""], ""Amenity"": [""take out""]}","{ ""location"": [""chinese""]}"
find me a close by meat market which sells produce,"{""Location"": [""close by""], ""Cuisine"": [""meat""], ""Dish"": [""produce""]}",{}
find me a close by sub shop,"{""Location"": [""close by""], ""Cuisine"": [""sub""]}",{}
find me a close travel center,"{""Location"": [""close""]}",{}
find me a deli which has an eat in area,"{""Cuisine"": [""deli""], ""Amenity"": [""eat in area""]}",{}
find me a dim sum restaurant open at 8 am,"{""Dish"": [""dim sum restaurant""], ""Hours"": [""open at 8 am""]}",{}
find me a fancy place to eat,"{""Amenity"": [""fancy""]}",{}
find me a fast food restaurant,"{""Cuisine"": [""fast food""]}",{}
find me a german restaurant within 10 miles,"{""Cuisine"": [""german""], ""Location"": [""within 10 miles""]}","{ ""location"": [""German""]}"
find me a good buffet near stockton ca,"{""Cuisine"": [""buffet""], ""Location"": [""near stockton ca""]}","{ ""location"": [""stockton ca""]}"
find me a good burrito truck in the mission,"{""Rating"": [""good""], ""Dish"": [""burrito truck""], ""Location"": [""in the mission""]}",{}
find me a good deli in manhattan,"{""Rating"": [""good""], ""Cuisine"": [""deli""], ""Location"": [""manhattan""]}","{ ""location"": [""Manhattan""]}"
find me a good pho restaurant in portland or,"{""Rating"": [""good""], ""Cuisine"": [""pho""], ""Location"": [""portland or""]}","{ ""location"": [""portland""]}"
find me a good pub that has a dance floor,"{""Rating"": [""good""], ""Cuisine"": [""pub""], ""Amenity"": [""dance floor""]}",{}
find me a good vegetarian restaurant,"{""Rating"": [""good""], ""Cuisine"": [""vegetarian""]}",{}
find me a jack in the box thats open,"{""Restaurant_Name"": [""jack in the box""], ""Hours"": [""open""]}",{}
find me a kid friendly restaurant within three miles of here,"{""Amenity"": [""kid friendly""], ""Location"": [""within three miles""]}",{}
find me a local outdoors shop that sells fire wood,"{""Location"": [""local""], ""Amenity"": [""outdoors shop"", ""sells fire wood""]}",{}
find me a local restaurant serving turkish food,"{""Location"": [""local""], ""Cuisine"": [""turkish""]}","{ ""location"": [""turkish""]}"
find me a nail salon that does pedicures,"{""Restaurant_Name"": [""nail salon""], ""Amenity"": [""pedicures""]}",{}
find me a pizza parlour please,"{""Cuisine"": [""pizza parlour""]}",{}
find me a pizza place that takes credit cards,"{""Cuisine"": [""pizza""], ""Amenity"": [""credit cards""]}",{}
find me a place that sells burgers closest to me,"{""Dish"": [""burgers""], ""Location"": [""closest to me""]}",{}
find me a place that serves chinese takeout,"{""Cuisine"": [""chinese""], ""Amenity"": [""takeout""]}","{ ""location"": [""chinese""]}"
find me a place to eat near by,"{""Location"": [""near by""]}",{}
find me a place to eat that has excellent sushi,"{""Rating"": [""excellent""], ""Dish"": [""sushi""]}",{}
find me a place to get pizza nearby,"{""Dish"": [""pizza""], ""Location"": [""nearby""]}",{}
find me a popular local coffee shop,"{""Rating"": [""popular""], ""Location"": [""local""], ""Cuisine"": [""coffee""]}",{}
find me a ranch style barbecue that serves lunch at 3 pm about one mile from my current position,"{""Cuisine"": [""ranch style barbecue""], ""Hours"": [""serves lunch at 3 pm""], ""Location"": [""about one mile""]}",{}
find me a restaurant good for a date,"{""Amenity"": [""good for a date""]}",{}
find me a restaurant near a movie theater thats open at 6 pm on saturday,"{""Location"": [""near a movie theater""], ""Hours"": [""open at 6 pm on saturday""]}",{}
find me a restaurant near the stadium,"{""Location"": [""near the stadium""]}",{}
find me a restaurant that has a smoking area and serves alcohol and is withing 20 miles of my current location,"{""Amenity"": [""smoking area""], ""Dish"": [""alcohol""], ""Location"": [""withing 20 miles""]}",{}
find me a restaurant that is quick and cheap,"{""Amenity"": [""quick""], ""Price"": [""cheap""]}",{}
find me a restaurant that serves hawaiian food,"{""Cuisine"": [""hawaiian""]}",{}
find me a restaurant with burgers on the menu and large portions that offers business dining,"{""Dish"": [""burgers""], ""Amenity"": [""large portions"", ""business dining""]}",{}
find me a restaurant with truck parking and good ratings,"{""Amenity"": [""truck parking""], ""Rating"": [""good ratings""]}",{}
find me a restaurant with valet access,"{""Amenity"": [""valet access""]}",{}
find me a restaurant within 5 miles of here that is open at 1 am,"{""Location"": [""within 5 miles of here""], ""Hours"": [""open at 1 am""]}",{}
find me a review of grasons barbeque,"{""Restaurant_Name"": [""grasons barbeque""]}","{ ""location"": [""Grasons""]}"
find me a romantic restaurant in 7 hills,"{""Amenity"": [""romantic""], ""Location"": [""restaurant in 7 hills""]}",{}
find me a romantic restaurant that has an open table,"{""Amenity"": [""romantic"", ""open table""]}",{}
find me a sitdown place with a buy one get one free offer,"{""Amenity"": [""sitdown"", ""buy one get one free offer""]}",{}
find me a southwestern restaurant that serves breakfast and is located nearby,"{""Cuisine"": [""southwestern""], ""Hours"": [""breakfast""], ""Location"": [""located nearby""]}",{}
find me a spanish restaurant where i can smoke,"{""Cuisine"": [""spanish""], ""Amenity"": [""can smoke""]}","{ ""location"": [""Spanish""]}"
find me a sports bar that serves food,"{""Cuisine"": [""sports bar""], ""Amenity"": [""serves food""]}",{}
find me a store that sells apple products within fifty miles,"{""Dish"": [""apple""], ""Location"": [""within fifty miles""]}",{}
find me a sudbury pizza place thats no more than 10 minutes from here,"{""Restaurant_Name"": [""sudbury pizza""], ""Location"": [""no more than 10 minutes from here""]}","{ ""location"": [""sudbury""]}"
find me a take out chinese restaurant,"{""Amenity"": [""take out""], ""Cuisine"": [""chinese""]}","{ ""location"": [""chinese""]}"
find me a take out restaurant with fried chicken less than 2 miles from here,"{""Amenity"": [""take out""], ""Dish"": [""fried chicken""], ""Location"": [""less than 2 miles from here""]}",{}
find me a tgi fridays near me,"{""Restaurant_Name"": [""tgi fridays""], ""Location"": [""near me""]}",{}
find me a thai restaurant with a great rating,"{""Cuisine"": [""thai""], ""Rating"": [""great rating""]}","{ ""location"": [""thai""]}"
find me a vegan restaurant not more than 5 miles away,"{""Cuisine"": [""vegan""], ""Location"": [""not more than 5 miles away""]}",{}
find me a very well priced cuban restaurant,"{""Price"": [""well""], ""Cuisine"": [""cuban""]}","{ ""location"": [""cuban""]}"
find me all the local italian joints,"{""Location"": [""local""], ""Cuisine"": [""italian joints""]}","{ ""location"": [""italian""]}"
find me an ethiopian restaurant with good service,"{""Cuisine"": [""ethiopian""], ""Amenity"": [""good service""]}","{ ""location"": [""ethiopian""]}"
find me an ethiopian restaurant within 5 miles of here,"{""Cuisine"": [""ethiopian""], ""Location"": [""within 5 miles""]}","{ ""location"": [""ethiopian""]}"
find me an expensive american restaurant,"{""Price"": [""expensive""], ""Cuisine"": [""american""]}","{ ""location"": [""american""]}"
find me an indian restaurant that serves lamb,"{""Cuisine"": [""indian""], ""Dish"": [""lamb""]}","{ ""location"": [""indian""]}"
find me an italian restaurant which has received high ratings for its service,"{""Cuisine"": [""italian""], ""Rating"": [""high ratings for its service""]}","{ ""location"": [""italian""]}"
find me brazilian food with on location parking,"{""Cuisine"": [""brazilian""], ""Amenity"": [""on location parking""]}","{ ""location"": [""brazilian""]}"
find me chicken places that accept discover card,"{""Dish"": [""chicken""], ""Amenity"": [""accept discover card""]}",{}
find me chinese food,"{""Cuisine"": [""chinese""]}",{}
find me fast food that serves salad,"{""Cuisine"": [""fast food""], ""Dish"": [""salad""]}",{}
find me italian restaurants with cheesecake,"{""Cuisine"": [""italian""], ""Dish"": [""cheesecake""]}","{ ""location"": [""Italian""]}"
find me restaurant that isnt cheap with chocolate cake on the dessert menu and byob,"{""Price"": [""isnt cheap""], ""Dish"": [""chocolate cake""], ""Amenity"": [""byob""]}","{ ""location"": [""byob""]}"
find me route directions from lexington ky to cincinnatti ohio,"{""Location"": [""lexington ky"", ""cincinnatti ohio""]}","{ ""location"": [""lexington ky"", ""cincinnati ohio""]}"
find me soul food in los angeles,"{""Cuisine"": [""soul""], ""Location"": [""los angeles""]}","{ ""location"": [""los angeles""]}"
find me the best rated chinese restaurant in the twin cities,"{""Rating"": [""best rated""], ""Cuisine"": [""chinese""], ""Location"": [""twin cities""]}","{ ""location"": [""chinese""]}"
find me the closest bakers,"{""Location"": [""closest""], ""Cuisine"": [""bakers""]}",{}
find me the closest ihop,"{""Location"": [""closest""], ""Restaurant_Name"": [""ihop""]}",{}
find me the closest sonic drive thru,"{""Location"": [""closest""], ""Restaurant_Name"": [""sonic""], ""Amenity"": [""drive thru""]}",{}
find me the closest walmart,"{""Location"": [""closest""], ""Restaurant_Name"": [""walmart""]}","{ ""location"": [""walmart""]}"
find me the nearest chase bank,"{""Location"": [""nearest""], ""Amenity"": [""chase bank""]}",{}
find me the nearest mcdonalds please,"{""Location"": [""nearest""], ""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""mcdonalds""]}"
find me the nearest placed to eat,"{""Location"": [""nearest""]}",{}
find me the phone number to dominos pizza,"{""Restaurant_Name"": [""dominos pizza""]}","{ ""location"": [""domnos""]}"
find me the phone number to the closest afghan restaurant,"{""Location"": [""closest""], ""Cuisine"": [""afghan""]}","{ ""location"": [""afghan""]}"
find my someplace around here where i can rock out with a smoothie,"{""Location"": [""someplace""], ""Dish"": [""smoothie""]}",{}
find nearby restaurants with coupons,"{""Location"": [""nearby""], ""Amenity"": [""coupons""]}",{}
find out how to get to the chipotle mexican grill on 12 th and pine,"{""Restaurant_Name"": [""chipotle mexican grill""], ""Location"": [""12 th and pine""]}","{ ""location"": [""chipotle mexican"", ""12 th and pine""]}"
find pizza places,"{""Cuisine"": [""pizza""]}",{}
find ratings of all local italian restaurants,"{""Rating"": [""ratings""], ""Location"": [""local""], ""Cuisine"": [""italian""]}","{ ""location"": [""italian""]}"
find restaurant with italian food,"{""Cuisine"": [""italian""]}",{}
find restaurants within 5 miles with entrees under 15,"{""Location"": [""within 5 miles""], ""Price"": [""entrees under 15""]}",{}
find somewhere to eat that is open before 7 am with average pricing along the route,"{""Hours"": [""open before 7 am""], ""Price"": [""average""], ""Location"": [""along the route""]}",{}
find thai food,"{""Cuisine"": [""thai""]}",{}
find the closest brewpub,"{""Location"": [""closest""], ""Cuisine"": [""brewpub""]}",{}
find the closest dunkin donuts,"{""Location"": [""closest""], ""Restaurant_Name"": [""dunkin donuts""]}",{}
find the closest homeward bound that has a happy hour,"{""Location"": [""closest homeward bound""], ""Amenity"": [""happy hour""]}",{}
find the closest sea food restaurant,"{""Location"": [""closest""], ""Cuisine"": [""sea food""]}",{}
find the nearest chicken stand,"{""Location"": [""nearest""], ""Cuisine"": [""chicken stand""]}",{}
find the nearest irish restaurant,"{""Location"": [""nearest""], ""Cuisine"": [""irish""]}",{}
find the number of the best barbecue joint in town,"{""Rating"": [""best""], ""Cuisine"": [""barbecue""], ""Location"": [""in town""]}",{}
find us a deli near central park,"{""Cuisine"": [""deli""], ""Location"": [""near central park""]}",{}
find us a sushi bar near brooklyn heights,"{""Cuisine"": [""sushi bar""], ""Location"": [""near brooklyn heights""]}","{ ""location"": [""brooklyn""]}"
find us a sushi bar near jackson,"{""Cuisine"": [""sushi""], ""Amenity"": [""bar""], ""Location"": [""near jackson""]}","{ ""location"": [""jackson""]}"
find us locations of china wok,"{""Restaurant_Name"": [""china wok""]}","{ ""location"": [""China wok""]}"
get me to a good pho restaurant,"{""Rating"": [""good""], ""Cuisine"": [""pho""]}",{}
get me to a mexican place,"{""Cuisine"": [""mexican""]}","{ ""location"": [""mexican""]}"
get me to the best italian restaurant with the highest rating,"{""Rating"": [""best"", ""highest rating""], ""Cuisine"": [""italian""]}","{ ""location"": [""italian""]}"
give me a list of restaurants that have seafood on the menu,"{""Cuisine"": [""seafood""]}",{}
give me a random restaurant that i havent been to yet,"{""Amenity"": [""random""]}",{}
give me directions to a mcdonalds,"{""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""mcdonalds""]}"
give me directions to an arbys,"{""Restaurant_Name"": [""arbys""]}",{}
give me directions to saturn grill,"{""Restaurant_Name"": [""saturn grill""]}",{}
give me the closest place that does sushi,"{""Location"": [""closest""], ""Dish"": [""sushi""]}",{}
give me the hours for the closest waffle house,"{""Hours"": [""hours""], ""Location"": [""closest""], ""Cuisine"": [""waffle house""]}",{}
give me the locations of the buffets in town,"{""Location"": [""locations"", ""in town""], ""Cuisine"": [""buffets""]}",{}
give me the names of the three closest pizza parlors,"{""Location"": [""closest""], ""Cuisine"": [""pizza parlors""]}",{}
going to shake shack wheres the best place to park,"{""Restaurant_Name"": [""shake shack""]}",{}
gryos nears restaurant serving them,"{""Dish"": [""gryos""], ""Location"": [""nears""]}","{ ""location"": [""gryos""]}"
hard rock hotel restaurant near me,"{""Restaurant_Name"": [""hard rock hotel""], ""Location"": [""near me""]}",{}
hello would you please take me to sushi stop,"{""Restaurant_Name"": [""sushi stop""]}",{}
hello yes i need a steakhouse reservations childrens menu and pricing along with reviews of at least 3 stars,"{""Cuisine"": [""steakhouse""], ""Amenity"": [""reservations childrens menu""], ""Rating"": [""at least 3 stars""]}",{}
help me find a burger joint,"{""Cuisine"": [""burger joint""]}",{}
help me find a five star chinese buffet within ten minutes of my current location,"{""Rating"": [""five star""], ""Cuisine"": [""chinese buffet""], ""Location"": [""within ten minutes""]}","{ ""location"": [""chinese""]}"
help me find a good place to eat,"{""Rating"": [""good""]}",{}
help me find a high end restaurant that is open until 11 pm,"{""Hours"": [""open until 11 pm""]}",{}
help me find a place for fast food,"{""Cuisine"": [""fast food""]}",{}
help me find a place my kids would like to eat,"{""Amenity"": [""kids would like to eat""]}",{}
help me find a sports bar that is smoke friendly,"{""Cuisine"": [""sports bar""], ""Amenity"": [""smoke friendly""]}",{}
help me find jack in the box in beverly hills,"{""Restaurant_Name"": [""jack in the box""], ""Location"": [""beverly hills""]}","{ ""location"": [""beverly hills""]}"
hey could you look up a restaurant with the best meatballs in town,"{""Rating"": [""best""], ""Dish"": [""meatballs""], ""Location"": [""in town""]}",{}
hey im looking for a great date night idea any suggestions,"{""Rating"": [""great""], ""Amenity"": [""date night""]}",{}
hey take me to variety food court,"{""Restaurant_Name"": [""variety food court""]}",{}
hey tell me where theres a taco bell nearby,"{""Restaurant_Name"": [""taco bell""], ""Location"": [""nearby""]}",{}
hi hershel is there any place around here with something good to eat,"{""Location"": [""around here""], ""Rating"": [""good""]}",{}
hi i would like some thai food is there any nearby,"{""Cuisine"": [""thai""], ""Location"": [""nearby""]}","{ ""location"": [""thai""]}"
hi please find me a sushi restaurant that has good reviews and that isnt too expensive,"{""Cuisine"": [""sushi""], ""Rating"": [""good reviews""], ""Price"": [""isnt too expensive""]}",{}
hi would you please find a restaurant with cheap vegan options,"{""Price"": [""cheap""], ""Cuisine"": [""vegan""]}",{}
how are the prices at donatellas,"{""Restaurant_Name"": [""donatellas""]}","{ ""location"": [""donatellas""]}"
how big are the portions at cheddars,"{""Restaurant_Name"": [""cheddars""]}","{ ""product"": [""cheese""]}"
how can i get to anthonys cafe on the waterfront,"{""Restaurant_Name"": [""anthonys cafe""], ""Location"": [""waterfront""]}","{ ""location"": [""anthonys""]}"
how can i quickly get to the nearst long john silvers,"{""Location"": [""nearst""], ""Restaurant_Name"": [""long john silvers""]}","{ ""location"": [""John silvers""]}"
how close is the closest mexican restaurant,"{""Location"": [""closest""], ""Cuisine"": [""mexican""]}","{ ""location"": [""mexican""]}"
how close is the nearest olive garden,"{""Location"": [""nearest""], ""Restaurant_Name"": [""olive garden""]}",{}
how do i get from the honolulu zoo to izakaya gazen,"{""Location"": [""honolulu zoo""], ""Restaurant_Name"": [""izakaya gazen""]}","{ ""location"": [""honolulu zoo""]}"
how do i get to burger king on oak street,"{""Restaurant_Name"": [""burger king""], ""Location"": [""oak street""]}","{ ""location"": [""Oak Street""]}"
how do i get to the cloest port of subs,"{""Location"": [""cloest""], ""Restaurant_Name"": [""port of subs""]}",{}
how do i get to the nearest hooters,"{""Location"": [""nearest""], ""Restaurant_Name"": [""hooters""]}",{}
how do i get to the nearest taco bell,"{""Location"": [""nearest""], ""Restaurant_Name"": [""taco bell""]}",{}
how do you get to als diner from here,"{""Restaurant_Name"": [""als diner""], ""Location"": [""from here""]}",{}
how expensive is olive garden,"{""Price"": [""expensive""], ""Restaurant_Name"": [""olive garden""]}",{}
how expensive is the food at chinese express,"{""Restaurant_Name"": [""chinese express""]}","{ ""location"": [""chinese express""]}"
how far am i from the nearest bagel shop,"{""Location"": [""nearest""], ""Cuisine"": [""bagel""]}",{}
how far am i from true thai right now,"{""Restaurant_Name"": [""true thai""]}","{ ""location"": [""thai""]}"
how far away is a chicago style sub joint,"{""Cuisine"": [""chicago style sub joint""]}",{}
how far away is the closest burger king,"{""Location"": [""closest""], ""Restaurant_Name"": [""burger king""]}",{}
how far away is the nearest applebees,"{""Location"": [""nearest""], ""Restaurant_Name"": [""applebees""]}",{}
how far away is the nearest steak house,"{""Location"": [""nearest""], ""Cuisine"": [""steak house""]}",{}
how far for a burger place,"{""Cuisine"": [""burger""]}",{}
how far is evergreen taiwanese restaurant from the himalayan,"{""Restaurant_Name"": [""evergreen taiwanese""], ""Location"": [""himalayan""]}","{ ""location"": [""evergreen taiwanese"", ""himalayan""]}"
how far is the arbys,"{""Restaurant_Name"": [""arbys""]}",{}
how far is the english pub that serves a fry up,"{""Amenity"": [""english pub""], ""Dish"": [""fry up""]}","{ ""location"": [""english""]}"
how far is the nearest applebeas,"{""Location"": [""nearest""], ""Restaurant_Name"": [""applebeas""]}",{}
how far is the nearest olive garden,"{""Location"": [""nearest""], ""Restaurant_Name"": [""olive garden""]}",{}
how far is the taco bell,"{""Restaurant_Name"": [""taco bell""]}",{}
how far to the nearest fast food,"{""Cuisine"": [""fast food""]}",{}
how far to the next subway,"{""Location"": [""next""], ""Restaurant_Name"": [""subway""]}",{}
how late does mcdonalds serve breakfast,"{""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""mcdonalds""]}"
how late pfchangs in paradise road will be open,"{""Restaurant_Name"": [""pfchangs""], ""Location"": [""paradise road""], ""Hours"": [""will be open""]}","{ ""location"": [""pfchangs""]}"
how long will it take me to drive from glasgow to the three chimneys in skye,"{""Location"": [""glasgow"", ""skye""], ""Restaurant_Name"": [""three chimneys""]}","{ ""location"": [""glasgow"", ""skye""]}"
how long will it take me to drive to the band box diner from here,"{""Hours"": [""long""], ""Restaurant_Name"": [""band box diner""]}",{}
how many burger kings are around,"{""Restaurant_Name"": [""burger kings""], ""Location"": [""around""]}",{}
how many burger kings are nearby,"{""Restaurant_Name"": [""burger kings""], ""Location"": [""nearby""]}",{}
how many chinese restaurants are there,"{""Cuisine"": [""chinese""]}",{}
how many miles will it take me to get to dominoes,"{""Restaurant_Name"": [""dominoes""]}",{}
how many pizza restaurants are nearby,"{""Dish"": [""pizza""], ""Location"": [""nearby""]}",{}
how many places serve pizza,"{""Dish"": [""pizza""]}",{}
how many restaurants near me have bathrooms,"{""Location"": [""near me""], ""Amenity"": [""have bathrooms""]}",{}
how many restaurants that accept reservations are within 10 miles,"{""Amenity"": [""accept reservations""], ""Location"": [""within 10 miles""]}",{}
how much is a plate at the olive garden,"{""Restaurant_Name"": [""olive garden""]}",{}
how much is an average plate at spencers diner,"{""Restaurant_Name"": [""spencers diner""]}","{ ""location"": [""spencers diner""]}"
how much is small box of fries at jack in the box,"{""Dish"": [""fries""], ""Restaurant_Name"": [""jack in the box""]}",{}
how much longer is subway open,"{""Restaurant_Name"": [""subway""], ""Hours"": [""open""]}",{}
how should i dress when going to francoiss,"{""Restaurant_Name"": [""francoiss""]}","{ ""location"": [""francoiss""]}"
huges bar and brill thanks,"{""Restaurant_Name"": [""huges bar and brill""]}",{}
i am diabetic and need to know if there are any health stores in the area,"{""Cuisine"": [""health""], ""Location"": [""in the area""]}",{}
i am having trouble fully waking up could you find some reviews of local coffee shops,"{""Location"": [""local""], ""Dish"": [""coffee""]}",{}
i am hungry please find nearby restaurants,"{""Location"": [""nearby""]}",{}
i am in the mood for shrimp where is the closet place i can go,"{""Dish"": [""shrimp""], ""Location"": [""closet""]}",{}
i am in the mood for some chinese food can you find me a place,"{""Cuisine"": [""chinese""]}","{ ""location"": [""chinese""]}"
i am looking for a dennys that is 5 miles from here,"{""Restaurant_Name"": [""dennys""], ""Location"": [""5 miles from here""]}","{ ""location"": [""dennys""]}"
i am looking for a good place to eat,"{""Rating"": [""good""]}",{}
i am looking for a local pizza restaurant that delivers,"{""Location"": [""local""], ""Dish"": [""pizza""], ""Amenity"": [""delivers""]}",{}
i am looking for a mediterranean restaurant that delivers,"{""Cuisine"": [""mediterranean""], ""Amenity"": [""delivers""]}",{}
i am looking for a mexican restuarant that has a mariachi band,"{""Cuisine"": [""mexican""], ""Amenity"": [""mariachi band""]}","{ ""location"": [""mexican""]}"
i am looking for a nice restaurant within 30 miles that accepts credit cards,"{""Rating"": [""nice""], ""Location"": [""within 30 miles""], ""Amenity"": [""accepts credit cards""]}",{}
i am looking for a restaurant that allows smoking,"{""Amenity"": [""allows smoking""]}",{}
i am looking for a restaurant that serves english food i want the price to be cheap to moderate,"{""Cuisine"": [""english""], ""Price"": [""cheap to moderate""]}","{ ""location"": [""english""]}"
i am looking for an olive garden are there any close by,"{""Restaurant_Name"": [""olive garden""], ""Location"": [""close by""]}",{}
i am looking for lunch buffets within 15 minutes driving distance,"{""Hours"": [""lunch""], ""Amenity"": [""buffets""], ""Location"": [""within 15 minutes driving distance""]}",{}
i am looking for sandwhiches,"{""Dish"": [""sandwhiches""]}",{}
i am looking for some chinese food,"{""Cuisine"": [""chinese""]}","{ ""location"": [""chinese""]}"
i am looking for the best large buffet within 15 miles,"{""Rating"": [""best""], ""Amenity"": [""large buffet""], ""Location"": [""within 15 miles""]}",{}
i feel in the mood for spicy food what can you do for me,"{""Cuisine"": [""spicy""]}",{}
i feel the need for some killer barbeque help me please,"{""Rating"": [""killer""], ""Dish"": [""barbeque""]}",{}
i hate smoke so list off some eateries i can go relax at,"{""Amenity"": [""hate smoke"", ""relax""]}",{}
i have a coupon for sweet tomatoes where is the nearest one,"{""Restaurant_Name"": [""sweet tomatoes""], ""Location"": [""nearest""]}","{ ""product"": [""tomatoes""]}"
i have a craving for fish and chips but i am on a budget so i need them cheap,"{""Cuisine"": [""fish"", ""chips""], ""Price"": [""cheap""]}","{ ""location"": [""fish and chips""]}"
i have a dinner date at 5 where should i take her,"{""Hours"": [""dinner"", ""at 5""], ""Amenity"": [""date""]}",{}
i have alcohol where can i find a good appetizer,"{""Rating"": [""good""], ""Cuisine"": [""appetizer""]}",{}
i have an important business luncheon and need to find a place that caters to professionals,"{""Amenity"": [""business"", ""caters to professionals""], ""Hours"": [""luncheon""]}",{}
i have to be back at the office before 3 pm which restaurant is located within 1 mile from here,"{""Location"": [""within 1 mile from here""]}",{}
i just need to find the closest diner to pick up some quick cheap breakfast,"{""Location"": [""closest""], ""Cuisine"": [""diner""], ""Price"": [""cheap""], ""Hours"": [""breakfast""]}",{}
i just want to eat at home could you direct me to a fast food place that has carry out,"{""Cuisine"": [""fast food""], ""Amenity"": [""carry out""]}",{}
i need a 4 star rated subway nearby,"{""Rating"": [""4 star rated""], ""Restaurant_Name"": [""subway""], ""Location"": [""nearby""]}",{}
i need a 5 star rated sushi bar close by,"{""Rating"": [""5 star""], ""Cuisine"": [""sushi bar""], ""Location"": [""close by""]}",{}
i need a cheap restaurant for brunch,"{""Price"": [""cheap""], ""Hours"": [""brunch""]}",{}
i need a close restaurant that is open currently,"{""Location"": [""close""], ""Hours"": [""open currently""]}",{}
i need a deli that caters,"{""Cuisine"": [""deli""], ""Amenity"": [""caters""]}",{}
i need a family friendly place to eat tonight,"{""Amenity"": [""family friendly""], ""Hours"": [""tonight""]}",{}
i need a kid friendly lunch place,"{""Amenity"": [""kid friendly""], ""Hours"": [""lunch""]}",{}
i need a kid friendly place to get sushi,"{""Amenity"": [""kid friendly""], ""Cuisine"": [""sushi""]}",{}
i need a korean barbecue restaurant,"{""Cuisine"": [""korean barbecue""]}","{ ""location"": [""korean""]}"
i need a late night spot with good service,"{""Hours"": [""late night""], ""Rating"": [""good service""]}",{}
i need a list of restaurants that take the diners card in a 5 mile radius,"{""Amenity"": [""diners card""], ""Location"": [""5 mile radius""]}",{}
i need a middle eastern restaurant with friendly service,"{""Cuisine"": [""middle eastern""], ""Rating"": [""friendly service""]}",{}
i need a place for kids to eat at 12 pm,"{""Amenity"": [""kids""], ""Hours"": [""12 pm""]}",{}
i need a place for smoking,"{""Amenity"": [""smoking""]}",{}
i need a place to get enchiladas thats open every day,"{""Dish"": [""enchiladas""], ""Hours"": [""open every day""]}","{ ""location"": [""enchiladas""]}"
i need a quick bite to eat,"{""Amenity"": [""quick""]}",{}
i need a reservation for 12 at 6 pm at the nearest asian restaurant,"{""Hours"": [""6 pm""], ""Location"": [""nearest""], ""Cuisine"": [""asian""]}",{}
i need a reservation for two at the nearest steakhouse,"{""Location"": [""nearest""], ""Cuisine"": [""steakhouse""]}",{}
i need a restaurant with lots of parking and large portions called nations restaurant news,"{""Amenity"": [""lots of parking"", ""large portions""], ""Restaurant_Name"": [""nations restaurant news""]}","{ ""location"": [""Nations""]}"
i need a thai place nearby can you find one,"{""Cuisine"": [""thai""], ""Location"": [""nearby""]}","{ ""location"": [""thai""]}"
i need a two pm reservation for hooters thanks kitt,"{""Hours"": [""two pm""], ""Restaurant_Name"": [""hooters""]}","{ ""location"": [""kitt""]}"
i need an expensive place within 5 miles of here,"{""Price"": [""expensive""], ""Location"": [""within 5 miles""]}",{}
i need an inexpensive italian restaurant with big portions,"{""Price"": [""inexpensive""], ""Cuisine"": [""italian""], ""Amenity"": [""big portions""]}","{ ""location"": [""italian""]}"
